@RELATION forexPrice

@ATTRIBUTE open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE close real
@ATTRIBUTE close2 real
@data
1.18204,1.1821,1.18188,1.18196,1.17966
1.17961,1.17971,1.17957,1.17966,1.17779
1.17825,1.17825,1.17777,1.17779,1.17685
1.17678,1.17685,1.17672,1.17685,1.17669
1.17702,1.17702,1.17666,1.17669,1.17755
1.17726,1.17761,1.17726,1.17755,1.17889
1.17891,1.17895,1.17884,1.17889,1.17942
1.17925,1.17944,1.17923,1.17942,1.17956
1.17961,1.17961,1.17941,1.17956,1.18056
1.18067,1.18083,1.18056,1.18056,1.18152
1.18164,1.18168,1.18151,1.18152,1.17937
1.17946,1.17948,1.17936,1.17937,1.17857
1.17855,1.17862,1.17855,1.17857,1.179
1.179,1.17901,1.179,1.179,1.17922
1.17924,1.17935,1.17921,1.17922,1.17889
1.17898,1.17898,1.17889,1.17889,1.17921
1.17931,1.17931,1.17911,1.17921,1.18003
1.17987,1.18009,1.17986,1.18003,1.18
1.18009,1.1801,1.17999,1.18,1.18062
1.1806,1.18062,1.18059,1.18062,1.18039
1.18042,1.18042,1.18039,1.18039,1.18081
1.1809,1.18094,1.18081,1.18081,1.18087
1.18093,1.18093,1.18087,1.18087,1.17926
1.17903,1.17941,1.17903,1.17926,1.17947
1.17953,1.17968,1.17931,1.17947,1.18031
1.18044,1.18051,1.18026,1.18031,1.18154
1.18149,1.18157,1.1813,1.18154,1.18131
1.18133,1.18137,1.1813,1.18131,1.18127
1.18118,1.18132,1.18116,1.18127,1.1818
1.18172,1.18182,1.18161,1.1818,1.17962
1.17937,1.17965,1.17924,1.17962,1.17867
1.17867,1.17891,1.17851,1.17867,1.18376
1.1839,1.18406,1.18354,1.18376,1.1831
1.18314,1.18317,1.18306,1.1831,1.18344
1.18344,1.18347,1.18338,1.18344,1.18365
1.18379,1.18379,1.18362,1.18365,1.18416
1.18424,1.18428,1.18415,1.18416,1.18415
1.18435,1.18436,1.18415,1.18415,1.18511
1.18461,1.18515,1.18461,1.18511,1.18611
1.1861,1.18614,1.18609,1.18611,1.18658
1.18677,1.18677,1.18653,1.18658,1.18657
1.18661,1.18662,1.18652,1.18657,1.18562
1.18572,1.18574,1.18562,1.18562,1.18454
1.18479,1.18486,1.18451,1.18454,1.18561
1.18561,1.18561,1.1856,1.18561,1.1852
1.18529,1.18529,1.18519,1.1852,1.18621
1.18642,1.18642,1.18621,1.18621,1.18561
