@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
1.7589292264135647E-5,-2.6971594469232232E-5,sell
-2.6971594469232232E-5,8.991818883497473E-5,buy
8.991818883497473E-5,2.1743031072745503E-4,stall
2.1743031072745503E-4,3.1825510269957707E-4,stall
3.1825510269957707E-4,4.276126786119459E-4,stall
4.276126786119459E-4,5.432692372230824E-4,stall
5.432692372230824E-4,6.211112092969499E-4,stall
6.211112092969499E-4,7.150660295425449E-4,stall
7.150660295425449E-4,6.121775594223964E-4,stall
6.121775594223964E-4,5.047816303909664E-4,stall
5.047816303909664E-4,3.80532763551718E-4,stall
3.80532763551718E-4,3.758112660038617E-4,stall
3.758112660038617E-4,3.54777084086E-4,stall
3.54777084086E-4,2.6956745122413755E-4,stall
2.6956745122413755E-4,1.9138233139934626E-4,stall
1.9138233139934626E-4,8.424818937438389E-5,stall
8.424818937438389E-5,-1.1449703776885908E-6,sell
-1.1449703776885908E-6,-1.7378112420962048E-5,stall
-1.7378112420962048E-5,-7.935542483633769E-5,stall
-7.935542483633769E-5,-1.3019840845820562E-4,stall
-1.3019840845820562E-4,-1.4940258307724824E-4,stall
-1.4940258307724824E-4,-2.2273377518897868E-4,stall
-2.2273377518897868E-4,-2.867101607293258E-4,stall
-2.867101607293258E-4,-2.935908452204797E-4,stall
-2.935908452204797E-4,-3.204529214449077E-4,stall
-3.204529214449077E-4,-3.0473175448301386E-4,stall
-3.0473175448301386E-4,-7.163500509251345E-5,stall
-7.163500509251345E-5,2.208555042238782E-5,buy
2.208555042238782E-5,8.028220475618368E-5,stall
8.028220475618368E-5,9.31959460891517E-5,stall
9.31959460891517E-5,-3.277661258475205E-4,sell
-3.277661258475205E-4,-3.0543692682974996E-4,stall
-3.0543692682974996E-4,-3.18442280833269E-4,stall
-3.18442280833269E-4,-4.147284021482849E-4,stall
-4.147284021482849E-4,-3.498131600862168E-4,stall
-3.498131600862168E-4,-2.7453407182146734E-4,stall
-2.7453407182146734E-4,-1.8459248156842015E-4,stall
-1.8459248156842015E-4,-1.9313949769122945E-4,stall
-1.9313949769122945E-4,-1.7701334204178667E-4,stall
-1.7701334204178667E-4,-1.573516103249511E-4,stall
-1.573516103249511E-4,-1.1061884681470908E-4,stall
-1.1061884681470908E-4,-3.8905344776352604E-5,stall
-3.8905344776352604E-5,1.6715161007229852E-5,buy
1.6715161007229852E-5,1.653723769862804E-5,stall
1.653723769862804E-5,-3.326185329250361E-6,sell
-3.326185329250361E-6,2.6147536924025672E-5,buy
2.6147536924025672E-5,1.0791452824511407E-4,stall
1.0791452824511407E-4,1.0752104928705083E-4,stall
1.0752104928705083E-4,1.0199343845454344E-4,stall
1.0199343845454344E-4,1.3223393097290125E-4,stall
1.3223393097290125E-4,-0.008857403723146843,sell
-0.008857403723146843,-0.014151833218993144,stall
-0.014151833218993144,-0.01691738304498499,stall
-0.01691738304498499,-0.017772033866412122,stall
-0.017772033866412122,-0.016337895561880162,stall
-0.016337895561880162,-0.013103165293367806,stall
-0.013103165293367806,-0.010975336086480207,stall
-0.010975336086480207,-0.00905090865194293,stall
-0.00905090865194293,-0.00759587474387572,stall
-0.00759587474387572,-0.006832243969531533,stall
-0.006832243969531533,-0.005873575304849249,stall
-0.005873575304849249,-0.006532183868975958,stall
-0.006532183868975958,-0.0054504643580679385,stall
-0.0054504643580679385,-0.0041958875565804785,stall
-0.0041958875565804785,-0.0027583446558754957,stall
-0.0027583446558754957,-0.0014877065181916616,stall
-0.0014877065181916616,2.1881588050794154E-4,buy
2.1881588050794154E-4,0.0018424649817231215,stall
0.0018424649817231215,0.0034831247926412207,stall
0.0034831247926412207,0.004990723964754806,stall
0.004990723964754806,0.005885452069986162,stall
0.005885452069986162,0.006260422358960065,stall
0.006260422358960065,0.0060848783722048105,stall
0.0060848783722048105,0.006406476738720614,stall
0.006406476738720614,0.006755495978127506,stall
0.006755495978127506,0.006673193967529821,stall
0.006673193967529821,0.006518336762687288,stall
0.006518336762687288,0.006228939843955915,stall
0.006228939843955915,0.004614297951930996,stall
0.004614297951930996,0.0038111434625475622,stall
0.0038111434625475622,0.0026699842905877694,stall
0.0026699842905877694,0.002626637970949315,stall
0.002626637970949315,0.0030085654103288624,stall
0.0030085654103288624,0.002726509686663072,stall
0.002726509686663072,0.002752249751305478,stall
0.002752249751305478,0.002888621315769304,stall
0.002888621315769304,0.002949775775167505,stall
0.002949775775167505,0.002804523323490196,stall
0.002804523323490196,0.002926790831970883,stall
0.002926790831970883,0.002945192917127217,stall
0.002945192917127217,0.003222030484243873,stall
0.003222030484243873,0.003397763693551086,stall
0.003397763693551086,0.00344849786945621,stall
0.00344849786945621,0.0030797901807439014,stall
0.0030797901807439014,0.003009963344202324,stall
0.003009963344202324,0.002757317791405878,stall
0.002757317791405878,0.002435335219698507,stall
0.002435335219698507,0.002443706115179801,stall
0.002443706115179801,0.0023123413223777433,stall
0.0023123413223777433,0.0026017212238985555,stall
0.0026017212238985555,0.002417043762410466,stall
0.002417043762410466,0.002280832997274366,stall
0.002280832997274366,0.0022930902802240044,stall
0.0022930902802240044,0.0023689229601777185,stall
0.0023689229601777185,0.0024094967445803814,stall
0.0024094967445803814,0.00243566850035093,stall
0.00243566850035093,0.0023903686281854246,stall
0.0023903686281854246,0.002269756689351521,stall
0.002269756689351521,0.0020788393364320618,stall
0.0020788393364320618,0.001809559068201516,stall
0.001809559068201516,0.0015707154618297189,stall
0.0015707154618297189,0.001303730019550979,stall
0.001303730019550979,0.0010543808855993076,stall
0.0010543808855993076,7.801670997620951E-4,stall
7.801670997620951E-4,6.625093725139827E-4,stall
6.625093725139827E-4,5.442511540206911E-4,stall
5.442511540206911E-4,3.559087253370034E-4,stall
3.559087253370034E-4,1.2951002162646863E-4,stall
1.2951002162646863E-4,1.269567527451814E-4,stall
1.269567527451814E-4,-9.665802494620689E-5,sell
-9.665802494620689E-5,-2.2033460779058087E-4,stall
-2.2033460779058087E-4,-5.117880576523933E-4,stall
-5.117880576523933E-4,-7.075228089964171E-4,stall
-7.075228089964171E-4,-9.054180978167264E-4,stall
-9.054180978167264E-4,-0.001086486350888356,stall
-0.001086486350888356,-0.0012973700090826643,stall
-0.0012973700090826643,-0.0013170093191543664,stall
-0.0013170093191543664,-8.815354458994085E-4,stall
-8.815354458994085E-4,-6.6025698740048E-4,stall
-6.6025698740048E-4,-4.0974294284100806E-4,stall
-4.0974294284100806E-4,-1.6841931176391511E-4,stall
-1.6841931176391511E-4,1.0018776567069602E-4,buy
1.0018776567069602E-4,1.1950663159903194E-4,stall
1.1950663159903194E-4,-1.3603217486188291E-5,sell
-1.3603217486188291E-5,-1.8610398824027595E-4,stall
-1.8610398824027595E-4,-1.5620904786814015E-4,stall
-1.5620904786814015E-4,-2.3934556965216842E-4,stall
-2.3934556965216842E-4,-3.035468584383922E-4,stall
-3.035468584383922E-4,-3.4352623138442836E-4,stall
-3.4352623138442836E-4,-3.686359093671147E-4,stall
-3.686359093671147E-4,-3.497220554570684E-4,stall
-3.497220554570684E-4,-3.5382546721990545E-4,stall
