timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.08 18:00',0.99563,0.99574,0.99553,0.99562,0.994732,0.994515,-0.000164,0.000382,0.000332
'2016.03.08 19:00',0.99639,0.99645,0.99639,0.9964,0.994989,0.994654,-0.000065,0.000399,0.000374
'2016.03.08 20:00',0.99674,0.99675,0.99671,0.99672,0.995255,0.994807,0.000038,0.00041,0.000379
'2016.03.08 21:00',0.99741,0.9975,0.99741,0.99742,0.995588,0.995001,0.000148,0.00044,0.00042
'2016.03.08 22:00',0.99772,0.99772,0.99767,0.99768,0.99591,0.995199,0.00026,0.00045,0.000416
'2016.03.08 23:00',0.99799,0.99801,0.99797,0.99799,0.99623,0.995406,0.000373,0.000451,0.000408
'2016.03.09 00:00',0.99795,0.99795,0.99794,0.99794,0.996493,0.995594,0.000478,0.000421,0.000359
'2016.03.09 01:00',0.99816,0.99832,0.99816,0.99832,0.996774,0.995796,0.000578,0.0004,0.00034
'2016.03.09 02:00',0.99803,0.99817,0.99803,0.99803,0.996967,0.995961,0.000664,0.000342,0.000268
'2016.03.09 03:00',0.997,0.9974,0.99699,0.99738,0.997031,0.996066,0.000724,0.000241,0.000129
'2016.03.09 04:00',0.99781,0.99803,0.99779,0.998,0.99718,0.99621,0.000773,0.000197,0.000131
'2016.03.09 05:00',0.99821,0.99871,0.9982,0.99863,0.997403,0.996389,0.000821,0.000193,0.000147
'2016.03.09 06:00',1.002,1.0022,1.002,1.00213,0.99813,0.996814,0.00092,0.000396,0.000482
'2016.03.09 07:00',1.00091,1.00137,1.0007,1.00107,0.998583,0.997129,0.001027,0.000426,0.000395
'2016.03.09 08:00',1.0003,1.00046,1.00006,1.00007,0.998811,0.997347,0.001114,0.00035,0.000264
'2016.03.09 09:00',1.00209,1.00222,1.00207,1.00209,0.999316,0.997699,0.001215,0.000402,0.000391
'2016.03.09 10:00',0.99995,1.00008,0.99956,1.00004,0.999427,0.997872,0.001283,0.000272,0.000133
'2016.03.09 11:00',0.9967,0.99681,0.9962,0.99651,0.998978,0.997771,0.001268,-0.000061,-0.000302
'2016.03.09 12:00',0.99585,0.99591,0.99576,0.99588,0.998502,0.997631,0.001188,-0.000318,-0.000495
'2016.03.09 13:00',0.99498,0.99526,0.99493,0.99525,0.998001,0.997455,0.00106,-0.000513,-0.000644
'2016.03.09 14:00',0.99612,0.99629,0.9961,0.99619,0.997723,0.997361,0.00092,-0.000559,-0.000578
'2016.03.09 15:00',0.99749,0.99792,0.99749,0.99791,0.997752,0.997402,0.000806,-0.000456,-0.000395
'2016.03.09 16:00',0.99709,0.99711,0.99707,0.9971,0.997651,0.997379,0.000699,-0.000427,-0.000404
'2016.03.09 17:00',0.9973,0.99734,0.99666,0.99719,0.99758,0.997365,0.000603,-0.000388,-0.000369
'2016.03.09 18:00',0.99726,0.9975,0.99726,0.99746,0.997562,0.997372,0.00052,-0.00033,-0.000297
'2016.03.09 19:00',0.99816,0.99818,0.9981,0.99813,0.997649,0.997428,0.00046,-0.000239,-0.000183
'2016.03.09 20:00',0.9982,0.99821,0.9982,0.9982,0.997734,0.997486,0.000418,-0.000169,-0.000131
'2016.03.09 21:00',0.99773,0.99774,0.9977,0.9977,0.997729,0.997501,0.00038,-0.000152,-0.000149
'2016.03.09 22:00',0.99729,0.99733,0.99725,0.9973,0.997663,0.997487,0.000339,-0.000163,-0.000178
'2016.03.09 23:00',0.99758,0.99766,0.99758,0.99765,0.997661,0.997499,0.000304,-0.000141,-0.000138
'2016.03.10 00:00',0.99715,0.99718,0.99715,0.99718,0.997587,0.997475,0.000265,-0.000153,-0.00017
'2016.03.10 01:00',0.99756,0.99764,0.99734,0.99761,0.99759,0.997485,0.000233,-0.000128,-0.000127
'2016.03.10 02:00',0.99716,0.99746,0.99681,0.99683,0.997473,0.997437,0.000194,-0.000157,-0.000169
'2016.03.10 03:00',0.99733,0.99754,0.99733,0.99751,0.997479,0.997442,0.000163,-0.000126,-0.000118
'2016.03.10 04:00',0.9969,0.99701,0.99681,0.99698,0.997402,0.997408,0.000129,-0.000134,-0.000152
'2016.03.10 05:00',0.99692,0.997,0.99676,0.99691,0.997327,0.997371,0.000094,-0.000139,-0.000151
'2016.03.10 06:00',0.99759,0.99788,0.99752,0.99778,0.997396,0.997401,0.000075,-0.000079,-0.000056
'2016.03.10 07:00',0.99802,0.99808,0.99802,0.99803,0.997494,0.997448,0.000069,-0.000023,0.000001
'2016.03.10 08:00',1.00711,1.00837,1.007,1.0081,0.999126,0.998237,0.000233,0.000656,0.001022
'2016.03.10 09:00',1.00064,1.00068,0.99949,1.00065,0.99936,0.998416,0.000375,0.000569,0.000429
'2016.03.10 10:00',0.99435,0.99457,0.99297,0.99375,0.998497,0.99807,0.000386,0.000041,-0.000329
'2016.03.10 11:00',0.9881,0.98843,0.98782,0.98836,0.996937,0.997351,0.000226,-0.000639,-0.00108
'2016.03.10 12:00',0.98596,0.98596,0.98563,0.98569,0.995207,0.996487,-0.000075,-0.001205,-0.001517
'2016.03.10 13:00',0.98316,0.98318,0.98302,0.98309,0.993343,0.995495,-0.000491,-0.001661,-0.001876
'2016.03.10 14:00',0.98224,0.9824,0.98171,0.98237,0.991655,0.994522,-0.000966,-0.001902,-0.001974
'2016.03.10 15:00',0.98241,0.98273,0.98237,0.98263,0.990266,0.993641,-0.001448,-0.001927,-0.00184
'2016.03.10 16:00',0.98478,0.98493,0.98476,0.98493,0.989445,0.992996,-0.001868,-0.001682,-0.001427
'2016.03.10 17:00',0.98493,0.98494,0.98468,0.98489,0.988745,0.992396,-0.002225,-0.001426,-0.001175
'2016.03.10 18:00',0.98454,0.98454,0.98396,0.98406,0.988024,0.991778,-0.002531,-0.001224,-0.001004
'2016.03.10 19:00',0.98458,0.98458,0.98403,0.98427,0.987446,0.991222,-0.00278,-0.000996,-0.000779
