timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.07 07:00',1.09509,1.09514,1.09497,1.09513,1.097016,1.097296,0.000463,-0.000744,-0.000713
'2016.03.07 08:00',1.09491,1.09508,1.09482,1.09498,1.096702,1.097125,0.000286,-0.000708,-0.000663
'2016.03.07 09:00',1.09593,1.09594,1.09568,1.09568,1.096545,1.097018,0.000134,-0.000607,-0.000526
'2016.03.07 10:00',1.09497,1.0951,1.09479,1.0949,1.096292,1.096861,-0.000006,-0.000562,-0.000516
'2016.03.07 11:00',1.09839,1.09847,1.09781,1.09783,1.096529,1.096933,-0.000086,-0.000318,-0.000154
'2016.03.07 12:00',1.10035,1.10104,1.10034,1.1009,1.097201,1.097227,-0.000074,0.000048,0.000292
'2016.03.07 13:00',1.10211,1.10251,1.10211,1.1025,1.098016,1.097617,0.000021,0.000378,0.000578
'2016.03.07 14:00',1.10059,1.1006,1.10051,1.10051,1.0984,1.097832,0.00013,0.000438,0.00046
'2016.03.07 15:00',1.10162,1.10163,1.10131,1.10135,1.098854,1.098092,0.000257,0.000505,0.000526
'2016.03.07 16:00',1.10123,1.10129,1.10099,1.10105,1.099192,1.098311,0.000381,0.000499,0.000474
'2016.03.07 17:00',1.10132,1.10132,1.1011,1.10126,1.09951,1.09853,0.000501,0.000479,0.000443
'2016.03.07 18:00',1.10143,1.10152,1.10141,1.10142,1.099804,1.098744,0.000613,0.000447,0.000407
'2016.03.07 19:00',1.10123,1.10131,1.10117,1.1013,1.100034,1.098933,0.00071,0.00039,0.000335
'2016.03.07 20:00',1.10176,1.10185,1.10163,1.10163,1.10028,1.099133,0.000798,0.000349,0.000304
'2016.03.07 21:00',1.10188,1.10231,1.10188,1.1023,1.10059,1.099367,0.000883,0.00034,0.000321
'2016.03.07 22:00',1.10247,1.10256,1.10247,1.10256,1.100893,1.099604,0.000964,0.000325,0.000296
'2016.03.07 23:00',1.10178,1.1018,1.10178,1.1018,1.101033,1.099767,0.001024,0.000242,0.00017
'2016.03.08 00:00',1.10155,1.1016,1.1015,1.10151,1.101106,1.099896,0.001062,0.000149,0.000074
'2016.03.08 01:00',1.10174,1.10186,1.10172,1.10176,1.101207,1.100034,0.001084,0.000089,0.000038
'2016.03.08 02:00',1.10203,1.10237,1.10203,1.10221,1.101361,1.100195,0.0011,0.000066,0.000042
'2016.03.08 03:00',1.10351,1.10379,1.10346,1.10366,1.101715,1.100452,0.001133,0.00013,0.000158
'2016.03.08 04:00',1.10281,1.10308,1.10281,1.10308,1.101925,1.100646,0.001162,0.000116,0.000094
