timestamp,open,high,low,close,close2
'2016.03.10 02:00',113.65,113.745,113.649,113.657,114.953529
'2016.03.10 03:00',113.587,113.587,113.521,113.56,114.93498
'2016.03.10 04:00',113.42,113.444,113.418,113.442,114.87656
'2016.03.10 05:00',113.382,113.382,113.37,113.378,114.8501
'2016.03.10 06:00',113.489,113.493,113.485,113.487,114.901367
'2016.03.10 07:00',113.58,113.595,113.579,113.593,114.951907
'2016.03.10 08:00',114.154,114.209,114.14,114.2,115.258967
'2016.03.10 09:00',113.991,114.009,113.931,113.983,115.147289
'2016.03.10 10:00',114.117,114.2,114.103,114.116,115.193417
'2016.03.10 11:00',113.385,113.444,113.385,113.432,114.863621
'2016.03.10 12:00',113.138,113.143,113.107,113.129,114.731832
'2016.03.10 13:00',112.839,112.866,112.815,112.856,114.607544
'2016.03.10 14:00',112.889,112.906,112.88,112.901,114.629335
'2016.03.10 15:00',113.073,113.114,113.07,113.102,114.71333
'2016.03.10 16:00',113.187,113.21,113.184,113.21,114.767715
'2016.03.10 17:00',113.172,113.192,113.146,113.192,114.760221
'2016.03.10 18:00',113.148,113.149,113.134,113.141,114.738755
'2016.03.10 19:00',112.848,112.854,112.757,112.84,114.60425
'2016.03.10 20:00',113.287,113.29,113.275,113.275,114.799133
'2016.03.10 21:00',113.285,113.312,113.285,113.301,114.807513
'2016.03.10 22:00',113.155,113.161,113.145,113.161,114.748257
'2016.03.10 23:00',113.489,113.504,113.484,113.49,114.899432
'2016.03.11 00:00',113.527,113.545,113.521,113.524,114.91424
'2016.03.11 01:00',113.409,113.448,113.409,113.419,114.858218
'2016.03.11 02:00',113.512,113.522,113.438,113.487,114.896207
'2016.03.11 03:00',113.726,113.812,113.701,113.731,114.993662
'2016.03.11 04:00',113.723,113.749,113.723,113.74,115.022174
'2016.03.11 05:00',113.822,113.827,113.813,113.813,115.06277
'2016.03.11 06:00',113.793,113.804,113.775,113.777,115.040946
'2016.03.11 07:00',113.764,113.769,113.755,113.756,115.033793
'2016.03.11 08:00',113.822,113.822,113.787,113.794,115.051835
'2016.03.11 09:00',113.591,113.613,113.59,113.59,114.94547
'2016.03.11 10:00',113.446,113.481,113.437,113.439,114.86646
'2016.03.11 11:00',113.506,113.53,113.486,113.505,114.903363
'2016.03.11 12:00',113.662,113.678,113.66,113.677,114.993762
'2016.03.11 13:00',113.725,113.725,113.717,113.721,115.018582
'2016.03.11 14:00',113.653,113.687,113.653,113.687,114.995472
'2016.03.11 15:00',113.708,113.71,113.701,113.703,115.008553
'2016.03.11 16:00',113.81,113.82,113.8,113.806,115.058204
'2016.03.13 17:00',113.93,113.943,113.93,113.941,115.129771
'2016.03.13 18:00',113.917,113.917,113.842,113.861,115.08181
'2016.03.13 19:00',113.694,113.698,113.689,113.69,115.001414
'2016.03.13 20:00',113.772,113.822,113.762,113.808,115.051379
'2016.03.13 21:00',113.929,113.94,113.91,113.934,115.126019
'2016.03.13 22:00',113.936,113.936,113.918,113.927,115.123991
'2016.03.13 23:00',113.903,113.904,113.872,113.877,115.094577
'2016.03.14 00:00',113.839,113.839,113.828,113.828,115.072045
'2016.03.14 01:00',113.753,113.761,113.744,113.751,115.031199
'2016.03.14 02:00',113.801,113.83,113.801,113.825,115.065715
'2016.03.14 03:00',113.851,113.851,113.799,113.837,115.076694
'2016.03.14 04:00',113.767,113.767,113.721,113.76,115.038363
'2016.03.14 05:00',113.578,113.61,113.569,113.601,114.951535
'2016.03.14 06:00',113.582,113.615,113.575,113.613,114.958475
'2016.03.14 07:00',113.649,113.683,113.649,113.683,114.993464
'2016.03.14 08:00',113.71,113.726,113.702,113.726,115.018721
'2016.03.14 09:00',113.61,113.639,113.608,113.635,114.969754
'2016.03.14 10:00',113.62,113.652,113.62,113.646,114.974287
'2016.03.14 11:00',113.755,113.764,113.742,113.763,115.038771
'2016.03.14 12:00',113.593,113.596,113.561,113.579,114.945063
'2016.03.14 13:00',113.634,113.635,113.628,113.628,114.971135
'2016.03.14 14:00',113.78,113.783,113.742,113.747,115.025898
'2016.03.14 15:00',113.822,113.823,113.797,113.813,115.06449
'2016.03.14 16:00',113.813,113.844,113.813,113.84,115.073229
'2016.03.14 17:00',113.821,113.821,113.791,113.81,115.06303
'2016.03.14 18:00',113.793,113.793,113.781,113.789,115.053271
'2016.03.14 19:00',113.791,113.795,113.783,113.787,115.050693
'2016.03.14 20:00',113.825,113.83,113.781,113.794,115.049541
'2016.03.14 21:00',113.906,113.914,113.899,113.9,115.107201
'2016.03.14 22:00',113.747,113.763,113.746,113.763,115.037425
'2016.03.14 23:00',113.767,113.803,113.706,113.711,114.991768
'2016.03.15 00:00',113.496,113.496,113.457,113.479,114.896799
'2016.03.15 01:00',113.311,113.311,113.278,113.299,114.811661
'2016.03.15 02:00',113.398,113.402,113.361,113.363,114.836728
'2016.03.15 03:00',113.391,113.414,113.301,113.391,114.849892
'2016.03.15 04:00',113.068,113.068,113.014,113.044,114.693005
'2016.03.15 05:00',113,113.021,112.999,113,114.669661
'2016.03.15 06:00',113.183,113.183,113.152,113.174,114.754078
'2016.03.15 07:00',113.107,113.119,113.104,113.119,114.727964
'2016.03.15 08:00',112.901,112.919,112.893,112.918,114.637196
'2016.03.15 09:00',112.735,112.787,112.728,112.783,114.572841
'2016.03.15 10:00',112.756,112.758,112.72,112.733,114.556954
'2016.03.15 11:00',112.975,112.995,112.969,112.994,114.670331
'2016.03.15 12:00',112.871,112.876,112.855,112.856,114.609583
'2016.03.15 13:00',112.976,112.976,112.972,112.972,114.663487
'2016.03.15 14:00',113.014,113.028,113.014,113.028,114.686581
'2016.03.15 15:00',113.091,113.097,113.09,113.097,114.719004
'2016.03.15 16:00',113.106,113.112,113.105,113.109,114.723967
'2016.03.15 17:00',113.113,113.124,113.113,113.117,114.726082
'2016.03.15 18:00',113.194,113.195,113.169,113.19,114.761832
'2016.03.15 19:00',113.2,113.21,113.189,113.189,114.757044
'2016.03.15 20:00',113.102,113.143,113.101,113.122,114.72093
'2016.03.15 21:00',113.303,113.318,113.3,113.313,114.816329
'2016.03.15 22:00',113.435,113.448,113.434,113.434,114.872707
'2016.03.15 23:00',113.375,113.387,113.373,113.384,114.850814
'2016.03.16 00:00',113.384,113.389,113.37,113.389,114.855126
'2016.03.16 01:00',113.45,113.457,113.425,113.431,114.87065
'2016.03.16 02:00',113.405,113.415,113.388,113.398,114.855706
'2016.03.16 03:00',113.376,113.437,113.371,113.385,114.834264
'2016.03.16 04:00',113.636,113.723,113.636,113.664,114.963537
'2016.03.16 05:00',113.638,113.644,113.629,113.629,114.969324
'2016.03.16 06:00',113.568,113.585,113.568,113.585,114.947907
'2016.03.16 07:00',113.59,113.591,113.583,113.591,114.953993
'2016.03.16 08:00',113.508,113.511,113.505,113.507,114.911613
'2016.03.16 09:00',113.643,113.643,113.582,113.591,114.945878
'2016.03.16 10:00',113.694,113.721,113.694,113.72,115.013274
'2016.03.16 11:00',113.732,113.74,113.723,113.727,115.018488
'2016.03.16 12:00',113.691,113.691,113.665,113.666,114.987418
'2016.03.16 13:00',113.637,113.653,113.635,113.652,114.981239
'2016.03.16 14:00',113.507,113.717,113.399,113.399,114.771802
'2016.03.16 15:00',112.745,112.761,112.711,112.714,114.543423
'2016.03.16 16:00',112.563,112.573,112.559,112.572,114.491776
'2016.03.16 17:00',112.53,112.53,112.526,112.526,114.474113
'2016.03.16 18:00',112.663,112.675,112.662,112.668,114.530302
'2016.03.16 19:00',112.762,112.763,112.738,112.74,114.560242
'2016.03.16 20:00',112.795,112.795,112.761,112.793,114.586207
'2016.03.16 21:00',112.819,112.819,112.745,112.747,114.55666
'2016.03.16 22:00',112.751,112.751,112.723,112.726,114.554234
'2016.03.16 23:00',112.708,112.712,112.706,112.709,114.549382
'2016.03.17 00:00',112.496,112.519,112.483,112.497,114.456332
'2016.03.17 01:00',112.04,112.075,112.036,112.047,114.2798
'2016.03.17 02:00',112.178,112.189,112.16,112.16,114.32549
'2016.03.17 03:00',111.999,112.075,111.995,112.036,114.268549
'2016.03.17 04:00',111.756,111.777,111.721,111.765,114.182575
'2016.03.17 05:00',111.71,111.712,111.692,111.701,114.162789
'2016.03.17 06:00',111.445,111.447,111.358,111.358,114.039786
'2016.03.17 07:00',111.295,111.299,111.233,111.25,114.009404
'2016.03.17 08:00',110.766,110.84,110.76,110.816,113.872859
'2016.03.17 09:00',111.678,111.713,111.673,111.694,114.154922
'2016.03.17 10:00',111.421,111.435,111.348,111.358,114.039542
'2016.03.17 11:00',111.418,111.456,111.418,111.444,114.071253
'2016.03.17 12:00',111.298,111.314,111.262,111.264,114.012049
'2016.03.17 13:00',111.079,111.176,111.074,111.174,113.97923
'2016.03.17 14:00',111.356,111.367,111.349,111.36,114.047902
'2016.03.17 15:00',111.433,111.506,111.433,111.496,114.08419
'2016.03.17 16:00',111.412,111.436,111.407,111.434,114.070921
'2016.03.17 17:00',111.374,111.406,111.374,111.406,114.060955
'2016.03.17 18:00',111.422,111.434,111.4,111.404,114.059564
'2016.03.17 19:00',111.406,111.406,111.381,111.397,114.061199
'2016.03.17 20:00',111.366,111.463,111.366,111.458,114.069241
'2016.03.17 21:00',111.033,111.038,110.97,111.001,113.934006
