253,'2016.03.15 13:00',buy
254,'2016.03.15 14:00',buy
255,'2016.03.15 15:00',buy
256,'2016.03.15 16:00',buy
257,'2016.03.15 17:00',buy
258,'2016.03.15 18:00',buy
259,'2016.03.15 19:00',sell
260,'2016.03.15 20:00',sell
261,'2016.03.15 21:00',buy
262,'2016.03.15 22:00',buy
263,'2016.03.15 23:00',sell
264,'2016.03.16 00:00',buy
265,'2016.03.16 01:00',buy
266,'2016.03.16 02:00',sell
267,'2016.03.16 03:00',sell
268,'2016.03.16 04:00',buy
269,'2016.03.16 05:00',buy
270,'2016.03.16 06:00',sell
271,'2016.03.16 07:00',buy
272,'2016.03.16 08:00',sell
273,'2016.03.16 09:00',buy
274,'2016.03.16 10:00',buy
275,'2016.03.16 11:00',buy
276,'2016.03.16 12:00',sell
277,'2016.03.16 13:00',sell
278,'2016.03.16 14:00',sell
279,'2016.03.16 15:00',sell
280,'2016.03.16 16:00',sell
281,'2016.03.16 17:00',sell
282,'2016.03.16 18:00',buy
283,'2016.03.16 19:00',buy
284,'2016.03.16 20:00',buy
285,'2016.03.16 21:00',sell
286,'2016.03.16 22:00',sell
287,'2016.03.16 23:00',sell
288,'2016.03.17 00:00',sell
289,'2016.03.17 01:00',sell
290,'2016.03.17 02:00',buy
291,'2016.03.17 03:00',sell
292,'2016.03.17 04:00',sell
293,'2016.03.17 05:00',sell
294,'2016.03.17 06:00',sell
295,'2016.03.17 07:00',sell
296,'2016.03.17 08:00',sell
297,'2016.03.17 09:00',buy
298,'2016.03.17 10:00',sell
299,'2016.03.17 11:00',buy
300,'2016.03.17 12:00',sell
301,'2016.03.17 13:00',sell
302,'2016.03.17 14:00',buy
303,'2016.03.17 15:00',buy
304,'2016.03.17 16:00',sell
305,'2016.03.17 17:00',sell
306,'2016.03.17 18:00',sell
307,'2016.03.17 19:00',buy
308,'2016.03.17 20:00',buy
309,'2016.03.17 21:00',sell
310,'2016.03.17 22:00',buy
311,'2016.03.17 23:00',buy
312,'2016.03.18 00:00',buy
313,'2016.03.18 01:00',buy
314,'2016.03.18 02:00',buy
315,'2016.03.18 03:00',sell
316,'2016.03.18 04:00',buy
317,'2016.03.18 05:00',sell
318,'2016.03.18 06:00',buy
319,'2016.03.18 07:00',buy
320,'2016.03.18 08:00',buy
321,'2016.03.18 09:00',buy
322,'2016.03.18 10:00',sell
323,'2016.03.18 11:00',sell
324,'2016.03.18 12:00',sell
325,'2016.03.18 13:00',buy
326,'2016.03.18 14:00',buy
327,'2016.03.18 15:00',buy
328,'2016.03.18 16:00',buy
329,'2016.03.20 17:00',sell
330,'2016.03.20 18:00',sell
331,'2016.03.20 19:00',buy
332,'2016.03.20 20:00',sell
333,'2016.03.20 21:00',sell
334,'2016.03.20 22:00',sell
335,'2016.03.20 23:00',sell
336,'2016.03.21 00:00',buy
337,'2016.03.21 01:00',buy
338,'2016.03.21 02:00',sell
339,'2016.03.21 03:00',buy
340,'2016.03.21 04:00',sell
341,'2016.03.21 05:00',sell
342,'2016.03.21 06:00',buy
343,'2016.03.21 07:00',sell
344,'2016.03.21 08:00',buy
345,'2016.03.21 09:00',buy
346,'2016.03.21 10:00',buy
347,'2016.03.21 11:00',sell
348,'2016.03.21 12:00',sell
349,'2016.03.21 13:00',buy
350,'2016.03.21 14:00',buy
351,'2016.03.21 15:00',buy
352,'2016.03.21 16:00',buy
353,'2016.03.21 17:00',buy
354,'2016.03.21 18:00',sell
355,'2016.03.21 19:00',buy
356,'2016.03.21 20:00',sell
357,'2016.03.21 21:00',sell
358,'2016.03.21 22:00',buy
359,'2016.03.21 23:00',sell
360,'2016.03.22 00:00',sell
361,'2016.03.22 01:00',buy
362,'2016.03.22 02:00',buy
363,'2016.03.22 03:00',sell
364,'2016.03.22 04:00',sell
365,'2016.03.22 05:00',sell
366,'2016.03.22 06:00',sell
367,'2016.03.22 07:00',sell
368,'2016.03.22 08:00',buy
369,'2016.03.22 09:00',buy
370,'2016.03.22 10:00',sell
371,'2016.03.22 11:00',buy
372,'2016.03.22 12:00',buy
373,'2016.03.22 13:00',buy
374,'2016.03.22 14:00',buy
375,'2016.03.22 15:00',sell
376,'2016.03.22 16:00',buy
377,'2016.03.22 17:00',buy
378,'2016.03.22 18:00',buy
379,'2016.03.22 19:00',sell
380,'2016.03.22 20:00',sell
381,'2016.03.22 21:00',buy
382,'2016.03.22 22:00',buy
383,'2016.03.22 23:00',buy
384,'2016.03.23 00:00',buy
385,'2016.03.23 01:00',buy
386,'2016.03.23 02:00',sell
387,'2016.03.23 03:00',sell
388,'2016.03.23 04:00',buy
389,'2016.03.23 05:00',buy
390,'2016.03.23 06:00',buy
391,'2016.03.23 07:00',buy
392,'2016.03.23 08:00',buy
393,'2016.03.23 09:00',buy
394,'2016.03.23 10:00',sell
395,'2016.03.23 11:00',sell
396,'2016.03.23 12:00',buy
397,'2016.03.23 13:00',buy
398,'2016.03.23 14:00',sell
399,'2016.03.23 15:00',sell
400,'2016.03.23 16:00',buy
401,'2016.03.23 17:00',sell
402,'2016.03.23 18:00',buy
403,'2016.03.23 19:00',buy
404,'2016.03.23 20:00',buy
405,'2016.03.23 21:00',buy
406,'2016.03.23 22:00',buy
407,'2016.03.23 23:00',sell
408,'2016.03.24 00:00',sell
409,'2016.03.24 01:00',buy
410,'2016.03.24 02:00',sell
411,'2016.03.24 03:00',buy
412,'2016.03.24 04:00',buy
413,'2016.03.24 05:00',buy
414,'2016.03.24 06:00',sell
415,'2016.03.24 07:00',sell
416,'2016.03.24 08:00',buy
417,'2016.03.24 09:00',sell
418,'2016.03.24 10:00',sell
419,'2016.03.24 11:00',buy
420,'2016.03.24 12:00',buy
421,'2016.03.24 13:00',buy
422,'2016.03.24 14:00',buy
423,'2016.03.24 15:00',buy
424,'2016.03.24 16:00',buy
425,'2016.03.24 17:00',buy
426,'2016.03.24 18:00',sell
427,'2016.03.24 19:00',sell
428,'2016.03.24 20:00',buy
429,'2016.03.24 21:00',buy
430,'2016.03.24 22:00',sell
431,'2016.03.24 23:00',sell
432,'2016.03.25 00:00',buy
433,'2016.03.25 01:00',buy
434,'2016.03.25 02:00',sell
435,'2016.03.25 03:00',sell
436,'2016.03.25 04:00',buy
437,'2016.03.25 05:00',sell
438,'2016.03.25 06:00',buy
439,'2016.03.25 07:00',sell
440,'2016.03.25 08:00',buy
441,'2016.03.25 09:00',buy
442,'2016.03.25 10:00',buy
443,'2016.03.25 11:00',buy
444,'2016.03.25 12:00',sell
445,'2016.03.25 13:00',buy
446,'2016.03.25 14:00',buy
447,'2016.03.25 15:00',sell
448,'2016.03.25 16:00',sell
449,'2016.03.27 17:00',buy
450,'2016.03.27 18:00',buy
451,'2016.03.27 19:00',buy
452,'2016.03.27 20:00',buy
453,'2016.03.27 21:00',buy
454,'2016.03.27 22:00',buy
455,'2016.03.27 23:00',buy
456,'2016.03.28 00:00',sell
457,'2016.03.28 01:00',sell
458,'2016.03.28 02:00',buy
459,'2016.03.28 03:00',buy
460,'2016.03.28 04:00',sell
461,'2016.03.28 05:00',sell
462,'2016.03.28 06:00',buy
463,'2016.03.28 07:00',buy
464,'2016.03.28 08:00',sell
465,'2016.03.28 09:00',sell
466,'2016.03.28 10:00',sell
467,'2016.03.28 11:00',sell
468,'2016.03.28 12:00',buy
469,'2016.03.28 13:00',buy
470,'2016.03.28 14:00',sell
471,'2016.03.28 15:00',sell
472,'2016.03.28 16:00',buy
473,'2016.03.28 17:00',buy
474,'2016.03.28 18:00',sell
475,'2016.03.28 19:00',buy
476,'2016.03.28 20:00',sell
477,'2016.03.28 21:00',sell
478,'2016.03.28 22:00',buy
479,'2016.03.28 23:00',buy
480,'2016.03.29 00:00',sell
481,'2016.03.29 01:00',buy
482,'2016.03.29 02:00',sell
483,'2016.03.29 03:00',buy
484,'2016.03.29 04:00',buy
485,'2016.03.29 05:00',buy
486,'2016.03.29 06:00',sell
487,'2016.03.29 07:00',buy
488,'2016.03.29 08:00',sell
489,'2016.03.29 09:00',sell
490,'2016.03.29 10:00',sell
491,'2016.03.29 11:00',buy
492,'2016.03.29 12:00',sell
493,'2016.03.29 13:00',sell
494,'2016.03.29 14:00',sell
495,'2016.03.29 15:00',sell
496,'2016.03.29 16:00',sell
497,'2016.03.29 17:00',buy
498,'2016.03.29 18:00',buy
499,'2016.03.29 19:00',buy
500,'2016.03.29 20:00',sell
501,'2016.03.29 21:00',sell
